cid,cname,,createdDate,desc,type,link,platform,UpvCount,free
,Python for Everybody Specialization,,,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language.",Python,https://www.coursera.org/specializations/python,Coursera,,0
,Programming for Everybody (Getting Started with Python),,,This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python. The course has no pre-requisites and avoids all but the simplest mathematics. ,Python,https://www.coursera.org/learn/python,Coursera,,0
,Python Data Structures,,,"This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples.",Python,https://www.coursera.org/learn/python-data,Coursera,,0
,Applied Data Science with Python Specialization,,,"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.",Python,https://www.coursera.org/specializations/data-science-python,Coursera,,0
,Introduction to Data Science in Python,,,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. ",Python,https://www.coursera.org/learn/python-data-analysis,Coursera,,0
,Python 3 Programming Specialization,,,,Python,https://www.coursera.org/specializations/python-3-programming,Coursera,,0
,Using Python to Access Web Data,,,,Python,https://www.coursera.org/learn/python-network-data,Coursera,,0
,Python for Data Science,,,,Python,https://www.coursera.org/learn/python-for-applied-data-science,Coursera,,0
,Machine Learning with Python,,,"This course dives into the basics of machine learning using an approachable, and well-known programming language, Python. ",Machine Learning,https://www.coursera.org/learn/machine-learning-with-python,Coursera,,0
,Using Databases with Python,,,,Python,https://www.coursera.org/learn/python-databases,Coursera,,0
,Build Native Mobile Apps with Flutter,,,"This course will introduce students to the basics of the Structured Query Language (SQL) as well as basic database design for storing data as part of a multi-step data gathering, analysis, and processing effort. The course will use SQLite3 as its database. ",Flutter,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,Udacity,,0
,Flutter by Google,,,,Flutter,https://www.youtube.com/watch?v=fq4N0hgOWzU&list=PLOU2XLYxmsIJ7dsVN4iRuA7BT8XHzGtCr,Youtube,,1
,Flutter tutorial for beginners using dart,,,,Flutter,https://www.youtube.com/playlist?list=PLlxmoA0rQ-Lw6tAs2fGFuXGP13-dWdKsB,Youtube,,1
,Flutter tutorials,,,,Flutter,https://www.youtube.com/watch?v=b2fgMCeSNpY&list=PLJbE2Yu2zumDqr_-hqpAN0nIr6m14TAsd,Youtube,,1
,C++ Nanodegree,,,"Learn C++, a high-performance programming language used in the world's most exciting engineering jobs -- from self-driving cars and robotics, to web browsers, media platforms, servers, and even video games",C++,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,Udacity,,0
,C++ For C Programmers,,,This course is for experienced C programmers who want to program in C++. The examples and exercises require a basic understanding of algorithms and object-oriented software.,C++,https://www.coursera.org/learn/c-plus-plus-a,Udacity,,0
,Intro to HTML and CSS,,,"In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools.",Web Development,https://www.udacity.com/course/intro-to-html-and-css--ud001,Udacity,,
,Intro to JavaScript,,,"Learn the fundamentals of JavaScript, the most popular programming language in web development.",Web Development,https://www.udacity.com/course/intro-to-javascript--ud803,Udacity,,
,Ruby on Rails Web Development Specialization,,,"This Specialization covers the fundamentals of web development with Ruby on Rails. You’ll learn everything you need to develop your own web application using Ruby on Rails, SQL and NoSQL databases, and HTML/CSS, and Javascript.",Web Development,https://www.coursera.org/specializations/ruby-on-rails,Coursera,,
,Web Development In 2019 - A Practical Guide,,,,Web Development,https://www.youtube.com/watch?v=UnTQVlqmDQ0,Youtube,,
,Data Analysis and Visualization,,,"Data and visual analytics is an emerging field concerned with analyzing, modeling, and visualizing complex high dimensional data. This course will introduce students to the field by covering 
state­-of-­the-art modeling, analysis and visualization techniques. ",Data Analysis,https://www.udacity.com/course/data-analysis-and-visualization--ud404,Udacity,,
,The Arduino Platform and C Programming,,,The Arduino is an open-source computer hardware/software platform for building digital devices and interactive objects that can sense and control the physical world around them. In this class you will learn how the Arduino platform works in terms of the physical board and libraries and the IDE (integrated development environment).,C,https://www.coursera.org/learn/arduino-platform,Coursera,,
,Introduction to Computer Programming,,,"This MOOC provides you with the foundational skill set required to write computer programs. If you are interested in learning how to write interactive, graphical programs from an introductory level in a real programming language, this is the course for you.",C,https://www.coursera.org/learn/introduction-to-computer-programming,Coursera,,
,C Programming Tutorial,,,,C,https://www.youtube.com/watch?v=-CpG3oATGIs,Youtube,,
,Java Programming Basics,,,"Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions.",Java,https://www.udacity.com/course/java-programming-basics--ud282,Udacity,,
,Android Basics: User Interface,,,Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program.,Java,https://www.udacity.com/course/android-basics-user-interface--ud834,Udacity,,
,Java Programming and Software Engineering Fundamentals Specialization,,,Take your first step towards a career in software development with this introduction to Java—one of the most in-demand programming languages and the foundation of the Android operating system. and debugging your programs.,Java,https://www.coursera.org/specializations/java-programming,Coursera,,
,Object Oriented Programming in Java Specialization,,,"This Specialization is for aspiring software developers with some programming experience in at least one other programming language (e.g., Python, C, JavaScript, etc.) who want to be able to solve more complex problems through objected-oriented design with Java. In addition to learning Java.",Java,https://www.coursera.org/specializations/object-oriented-programming,Coursera,,
,Learn Java 8,,,,Java,https://www.youtube.com/watch?v=grEKMHGYyns,Youtube,,
,Java Tutorial for Beginners,,,,Java,https://www.youtube.com/watch?v=3u1fu6f8Hto,Youtube,,
,Kotlin Bootcamp for Programmers,,,Learn the essentials of the Kotlin programming language from Kotlin experts at Google. Kotlin is a modern and concise JVM language that supports functional programming paradigms.,Kotlin,https://www.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011,Udacity,,
,Kotlin for Android Developers,,,"In this course, Aaron Sarazan, Lead Software Engineer at Capital One and a leading advocate for Kotlin, demonstrates how to take a basic Android app in Java and convert it to Kotlin",Kotlin,https://www.udacity.com/course/kotlin-for-android-developers--ud888,Udacity,,
,Kotlin Programming for Android,,,,Kotlin,https://www.youtube.com/watch?v=VEqhzCFmEQI&list=PLlxmoA0rQ-LwgK1JsnMsakYNACYGa1cjR,Youtube,,
,Python Django Web Framework,,,,Web Development,https://www.youtube.com/watch?v=F5mRW0jo-U4,Youtube,,
,Intro to Machine Learning,,,"The Intro to Machine Learning program is for students with Python experience, and covers foundational machine learning algorithms. The Machine Learning Engineer program is for students with some ML background, and covers production and deployment.",Machine Learning,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Udacity,,
,Become a Self Driving Car Engineer,,,"You'll first apply computer vision and deep learning to automotive problems, including detecting lane lines, predicting steering angles, and more. Next, you'll learn sensor fusion, which you'll use to filter data from an array of sensors in order to perceive the environment. Then, you'll work with a team to program Carla, Udacity’s real self-driving car.",Machine Learning,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Udacity,,
,Intro to Machine Learning,,,"This class will teach you the end-to-end process of investigating data through a machine learning lens, and you'll apply what you've learned to a real-world data set.",Machine Learning,https://www.udacity.com/course/intro-to-machine-learning--ud120,Udacity,,
,Machine Learning,,,Machine Learning is a graduate-level course covering the area of Artificial Intelligence concerned with computer programs that modify and improve their performance through experiences.,Machine Learning,https://www.udacity.com/course/machine-learning--ud262,Udacity,,
,Introduction to Computer Vision,,,"This course provides an introduction to computer vision including fundamentals of image formation, camera imaging geometry, feature detection and matching, multiview geometry including stereo, motion estimation and tracking, and classification.",Machine Learning,https://www.udacity.com/course/introduction-to-computer-vision--ud810,Udacity,,
,Intro to Artificial Intelligence,,,"This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing.",Machine Learning,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,Udacity,,
,Machine Learning,,,"Machine learning is the science of getting computers to act without being explicitly programmed. In the past decade, machine learning has given us self-driving cars, practical speech recognition, effective web search, and a vastly improved understanding of the human genome.",Machine Learning,https://www.coursera.org/learn/machine-learning,Coursera,,
,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",,,"If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning.",Machine Learning,https://www.coursera.org/learn/introduction-tensorflow,Coursera,,
,Machine Learning Tutorial,,,,Machine Learning,https://www.youtube.com/watch?v=DWsJc1xnOZo,Youtube,,
,Complete Machine Learning Course,,,,Machine Learning,https://www.youtube.com/watch?v=b2q5OFtxm6A,Youtube,,
,Intro to Data Analysis,,,"Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib.",Data Analysis,https://www.udacity.com/course/intro-to-data-analysis--ud170,Udacity,,
,SQL for Data Analysis,,,Learn to use Structured Query Language (SQL) to extract and analyze data stored in databases,Data Analysis,https://www.udacity.com/course/sql-for-data-analysis--ud198,Udacity,,
,Data Analysis and Presentation Skills,,,"Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations",Data Analysis,https://www.coursera.org/specializations/pwc-analytics,Coursera,,
,Data Analytics for Beginners,,,,Data Analysis,https://www.youtube.com/watch?v=THODdNXOjRw,Youtube,,
,"Intro to Data Analysis / Visualization with Python, Matplotlib and Pandas",,,,Data Analysis,https://www.youtube.com/watch?v=a9UrKTVEeZA,Youtube,,
,HTML5 Canvas,,,Canvas is an HTML5 element which gives you drawable surface inside your web pages you can control with JavaScript. Powerful enough to use for compositing images and even creating games.,Web Development,https://www.udacity.com/course/html5-canvas--ud292,Udacity,,
,"Excel Data Analysis: Sort, Filter, PivotTable, Formulas",,,,Data Analysis,https://www.youtube.com/watch?v=i5WiYh2jmG8,Youtube,,
,Introduction to .NET,,,,.NET,https://www.youtube.com/watch?v=0u9k-kOR3KE&list=PLVlQHNRLflP-jc5Fbhfdhzv52AWYq836j,Youtube,,
,Build a C# .NET Application in 60 Minutes,,,,.NET,https://www.youtube.com/watch?v=GcFJjpMFJvI,Youtube,,
,Introduction to Virtual Reality,,,"This course is designed for students who are new to virtual reality and want to learn about the principles of VR technology including optics, displays, stereopsis, tracking, and major hardware platforms. You don’t need any programming experience to get started.",VR/AR,https://www.udacity.com/course/introduction-to-virtual-reality--ud1012,Udacity,,
,Learn ARKit using Unity,,,Use ARKit and the Unity game engine to build beautiful and performant augmented reality scenes. Learn how to make your AR experience more dynamic and responsive by integrating proper lighting and physics using C# programming in the Unity interface.,VR/AR,https://www.udacity.com/course/learn-arkit-using-unity--ud114,Udacity,,
,Unity beginner tutroial,,,,Unity,https://www.youtube.com/watch?v=j48LtUkZRjU&list=PLPV2KyIb3jR5QFsefuO2RlAgWEz6EvVi6,Youtube,,
,Learn how to build games in Unity,,,"The first attempt at game-making can be a little overwhelming, but once you catch on, it’s an exciting, creative skill to have. The video tutorials below will get you started by teaching you the basic terminology and functions. Along the way, you will also build three simple games, which will make the concepts stick.",Unity,https://unity3d.com/learn/beginner-tutorials,unity3d.com,,
,"HTML, CSS, JavaScript and PHP",,,THE WORLD'S LARGEST WEB DEVELOPER SITE,Web Development,https://www.w3schools.com/,w3schools.com,,
,Intermediate Python for Data Science,,,Level up your data science skills by creating visualizations using matplotlib and manipulating data frames with Pandas.,Python,https://www.datacamp.com/courses/intermediate-python-for-data-science,DataCamp,,
,Introduction to data science ,,,This course provides basics of data science and introduction to algorithms in many languages.,Python,https://www.edx.org/course/cs50s-introduction-computer-science-harvardx-cs50x,edx,,
,Mobile app development,,,Learn about native app development like facebook,App Development,https://www.edx.org/course/cs50s-mobile-app-development-with-react-native,edx,,
,Computer science,,,An introduction to the intellectual enterprises of computer science and the art of programming.,Computer Science,https://www.edx.org/course/cs50s-introduction-computer-science-harvardx-cs50x,edx,,
,Game Devlopment,,,"Learn about the development of 2D and 3D interactive games in this hands-on course, as you explore the design of games such as Super Mario Bros., Pokémon, Angry Birds, and more.",Game development,https://www.edx.org/course/cs50s-introduction-to-game-development,edx,,
,Python programming for beginners,,,"In this course that’s perfect for true beginners, learn Python basics and start coding right away.",Python programming,https://www.edx.org/course/introduction-to-python-absolute-beginner-3,edx,,
,Logic and computational thinking,,,Build a solid foundation for programming by learning basic logic and exploring how logic forms the foundation of computer programs.,Computational Thinking,https://www.edx.org/course/logic-and-computational-thinking-3,edx,,
,Introduction to Python: Fundamentals,,,"Build on what you learned in the “Introduction to Python: Absolute Beginner” course, and dig into data structure basics.",Python Fundamentas,https://www.edx.org/course/introduction-to-python-fundamentals-3,edx,,
,CSS Basics,,,Learn how to take your Web pages from bland to bold with the power of CSS styling.,Web Development,https://www.edx.org/course/css-basics,edx,,
,HTML5 and CSS Fundamentals,,,"Learn how to build Web sites using HTML5 and basic CSS, directly from W3C, creator of the latest Web standards.",Web Development,https://www.edx.org/course/html5-and-css-fundamentals-2,edx,,
,JavaScript Introduction,,,"Learn JavaScript, a Web development programming language, to add interactivity to your Web pages, and become an expert Web developer.",Web Development,https://www.edx.org/course/javascript-introduction-2,edx,,
,HTML5 Coding Essentials and Best Practices,,,Learn how to write Web pages and Web sites by mastering HTML5 coding techniques and best practices.,Web Development,https://www.edx.org/course/html5-coding-essentials-and-best-practices-2,edx,,
,HTML5 Apps and Games,,,"Today, developers are increasingly moving from native to HTML5-based apps. Increase your ability to design and deliver innovative services on the Web!",Web Development,https://www.edx.org/course/html5-apps-and-games-2,edx,,
,C Programming: Getting Started,,,Start learning one of the most powerful and widely used programming languages: C.,C,https://www.edx.org/course/programming-in-c-getting-started,edx,,
,C Programming: Language Foundations,,,Master foundational concepts in the C programming language such as logical statements and arrays.,C,https://www.edx.org/course/c-programming-language-foundations,edx,,
,C Programming: Modular Programming and Memory Management,,,Enhance your coding skills along your path to becoming a proficient C programmer with the essential concepts of functions and pointers. Receive instant feedback on your code right within your browser.,C,https://www.edx.org/course/modular-programming-and-memory-management,edx,,
,C Programming: Pointers and Memory Management,,,Continue building your coding skills along your path to becoming a proficient C programmer by mastering the concept of pointers and memory management. Receive instant feedback on your code right within your browser.,C,https://www.edx.org/course/programming-in-c-pointers-and-memory-management,edx,,
,C Programming: Advanced Data Type,,,Master effective ways to store your data in the C programming language using advanced data types such as structures and linked lists. Receive instant feedback on your code right within your browser.,C,https://www.edx.org/course/c-programming-advanced-data-types,edx,,
,Linux Basics: The Command Line Interface,,,Learn the Linux Command Line interface and become a skilled user of this powerful operating system.,Linux,https://www.edx.org/course/programming-in-c-advanced-data-types,edx,,
,C Programming: Using Linux Tools and Libraries,,,earn how to use professional tools and libraries to write and build C programs within the Linux operating system. Receive instant feedback on your code right within your browser.,Linux,https://www.edx.org/course/programming-in-c-using-linux-tools-and-libraries,edx,,
,Learn to Program in Java,,,Get started on the path to becoming a software engineer by learning core coding skills in Java—one of the most popular programming languages.,Java ,https://www.edx.org/course/learn-to-program-in-java-3,edx,,
,Object Oriented Programming in Java,,,"One of the most important skills in software development is designing how code is organized. In this Java course, learn how to apply industry-standard practices as you structure your software.",Java ,https://www.edx.org/course/object-oriented-programming-in-java-3,edx,,
,Algorithms and Data Structures,,,Learn how to write faster and more efficient code against the backdrop of famous algorithms.,Java ,https://www.edx.org/course/algorithms-and-data-structures-3,edx,,
,Microsoft Professional Program in Data Science,,,"Accelerate your career in one of the hottest fields – data science. Learn data science fundamentals, key data science tools, and widely-used programming languages from industry and academic experts in this unique program created by Microsoft.",Data science,https://www.edx.org/microsoft-professional-program-data-science,edx,,
,Probability - The Science of Uncertainty and Data,,,"Build foundational knowledge of data science with this introduction to probabilistic models, including random processes and the basic elements of statistical inference — Course 1 of 4 in the MITx MicroMasters program in Statistics and Data Science.",Probability,https://www.edx.org/course/probability-the-science-of-uncertainty-and-data-0,edx,,
,Data Analysis in Social Science—Assessing Your Knowledge,,,"Learn the methods for harnessing and analyzing data to answer questions of cultural, social, economic, and policy interest, and then assess that knowledge— Course 2 of 4 in the MITx MicroMasters program in Statistics and Data Science.",Data analysis,https://www.edx.org/course/data-analysis-in-social-scienceassessing-your-knowledge-2,edx,,
,Fundamentals of Statistics,,,"
Develop a deep understanding of the principles that underpin statistical inference: estimation, hypothesis testing and prediction.  — Course 3 of 4 in the MITx MicroMasters program in Statistics and Data Science.",Statistics,https://www.edx.org/course/fundamentals-of-statistics-2,edx,,
,Machine Learning with Python: from Linear Models to Deep Learning,,,"An in-depth introduction to the field of machine learning, from linear models to deep learning and reinforcement learning, through hands-on Python projects. — Course 4 of 4 in the MITx MicroMasters program in Statistics and Data Science.",Machine learning,https://www.edx.org/course/machine-learning-with-python-from-linear-models-to-deep-learning,edx,,
,Capstone Exam in Statistics and Data Science,,,certificate,Statistics,https://www.edx.org/course/capstone-exam-in-statistics-and-data-science-0,edx,,
,Analyzing and Visualizing Data with Excel,,,"Learn how to select, apply, and analyze the most appropriate data representations in your code and design high quality software that is easy to understand and modify.",Excel ,https://www.edx.org/course/analyzing-and-visualizing-data-with-excel-2,edx,,
,Introduction to Data Analysis using Excel,,,"Learn the basics of Excel, one of the most popular data analysis tools, to help visualize and gain insights from your data.",Excel ,https://www.edx.org/course/introduction-to-data-analysis-using-excel-2,edx,,
,Essential Math for Data Analysis using Excel Online,,,Learn essential mathematical skills for analyzing data,Excel ,https://www.edx.org/course/essential-math-for-data-analysis-using-excel-online-2,edx,,
,Autonomous Mobile Robots,,,"Robots are rapidly evolving from factory workhorses, which are physically bound to their work-cells, to increasingly complex machines capable of performing challenging tasks in our daily environment. The objective of this course is to provide the basic concepts and algorithms required to develop mobile robots that act autonomously in complex environments. The main emphasis is put on mobile robot locomotion and kinematics, environment perception, probabilistic map based localization and mapping, and motion planning. The lectures and exercises of this course introduce several types of robots such as wheeled robots, legged robots and drones.",Robotics,https://www.edx.org/course/autonomous-mobile-robots-2,edx,,
,Drones and Autonomous Systems,,,"If you want to be the specialist who can procure and use cutting-edge systems to help save lives and cut disaster losses, this Professional Certificate provides the foundational knowledge you need when working with autonomous vehicles as well as unmanned aircraft systems and real-time, line-of-sight aerial or underwater vehicles. ",umuc and umux,https://www.edx.org/professional-certificate/umuc-usmx-drones-and-autonomous-systems,edx,,
," 
Future Robots. Towards a Robotic Science of Human Beings",,,"Following historic human achievements in steam power, electricity, and digital information, Robotics is now considered by many to be the fourth industrial revolution. This course explores robotics not simply as advanced technology, but as a new scientific discipline that can lead to a deeper understanding of human behavior. ",Robotics,https://www.edx.org/course/future-robots-towards-a-robotic-science-of-human-beings-2,edx,,
,Introduction to Computer Numerical Control,,,"Learn how The Introduction to Computer Numerical Control (CNC) Machining enables computers to control manufacturing tools and how to select, program and operate a CNC machine",Computer Control,https://www.edx.org/course/introduction-to-computer-numerical-control,edx,,
,Electric Cars: Introduction,,,"Get a basic understanding of electric cars and learn about leading technologies, development of profitable business models and effective policies.",Electric cars,https://www.edx.org/course/electric-cars-introduction-0,edx,,
,Robotics: Vision Intelligence and Machine Learning,,,"certificateLearn how to design robot vision systems that avoid collisions, safely work with humans and understand their environment.		",Robotics,https://www.edx.org/course/robotics-vision-intelligence-machine-pennx-robo2x,edx,,
,oftware Testing Fundamentals,,,"Want to gain software testing skills to start a career or are you a software developer looking to improve your unit testing skills? This course, part of the Software Testing and Verification MicroMasters program, will provide the essential skills you need for success.",Software testing,https://www.edx.org/course/software-testing-fundamentals,edx,,
,Algorithm Design and Analysis,,,Learn about the core principles of computer science: algorithmic thinking and computational problem solving.,Computer Science,,edx,,
,Artificial Intelligence (AI),,,"Learn the fundamentals of Artificial Intelligence (AI), and apply them. Design intelligent agents to solve real-world problems including, search, games, machine learning, logic, and constraint satisfaction problems.",Artificial intelligence,https://www.edx.org/micromasters/columbiax-artificial-intelligence,edx,,
,Blockchain Technology,,,certificateLearn the fundamentals of blockchain technology and how it will power the economy of tomorrow.		,Blockchain,https://www.edx.org/course/blockchain-technology,edx,,
,Blockchain: Understanding Its Uses and Implications,,,"Understand exactly what a blockchain is, its impact and potential for change around the world, and analyze use cases in technology, business, and enterprise products and institutions.",Blockchain,https://www.edx.org/course/understanding-blockchain-and-its-implications,edx,,