,rid,uname,cid,review
151,151,User151,98,"Great content, I still need to go over it to glean the wealth of information that has been put together here."
152,152,User152,98,"Five stars is not enough to express my satisfaction and love to this course.The instructor is very proactive in community. Every questions I posted got direcly feedback from Teaching staff (and most of them are from Prof Bushee!!!)This is the besttttt course among all Wharton analytics sessions! Honestly, you have to try!!"
153,153,User153,93,"This is my feedback as a Beta-Tester for the course:Week 1I thought that the videos were clear, well organized and flowed well from topic to topic. There was a clear logic as the professor developed the various ratios.What was missing for me was some in-line quizzes. Not the “tell me what I just told you type” but rather ones that make you think. So, for example, in the final video for Week 1, the optional video, instead of just suggesting that the students “play” with the spreadsheet, I think it would be better to give them an actual task or two… “change the assumption about X to <this value>. What is the impact on the Y ratio? Why?” I liked that he showed what numbers needed to be changed to make the share valuation closer to $55. But rather than just telling us the answer, this would be another opportunity to have the students stop the video and go try it themselves. With a specific task, it is likely that more students will go and work with the spreadsheet. This is where the real learning takes place.One of the things that I really liked about the design of prior courses by Professor Bushee was the fact that he had examples throughout the videos that had you apply the information right away. But, perhaps this is just me. I know that I learn a lot better by doing rather than just watching the videos and going “yeah… that makes sense. I understand…” I also recognize that some students, in past courses, have probably said they don’t find the in-line quizzes valuable. But, is that a reflection of the value of in-line quizzes as a whole or just in-line quizzes that simply require “parroting” something said in the video.I’m sure that the professor can come up with lots of examples. In Week 1 Video 1 the in-line quiz might provide some numbers for De-levered Net Income, Sales, Average Total Assets and Average Shareholder’s Equity and asking for the results of each of the ratios in the Dupont Analysis. And maybe a “think about what this means” type question that is not necessarily “marked” but for which an answer is provided in the video. Alternatively, he could have the students change some specific things in the Woof Junction spreadsheet and indicate what impact that has on the ratios and why.Week 1 Video 2 offers lots of similar opportunities with the Profitability and Turnover Ratios. Perhaps requiring the students to work backwards from a specific ratio to determine gross profit would be effective. Or, perhaps a question that relates strategy specifically to the ratios. For example, what would happen to the Gross Margin if Woof introduced a credit card and days receivable increased to 31.6 in 2015? Just something to engage people with the materials.All of the videos offer similar opportunities and I think having specific problems or questions will enhance the learning experience rather than just suggesting that they “go look at the spreadsheet”. The audience for these courses tends to be quite a bit different from your average upper tier university student and probably needs a bit more “hand holding” and “direction” in order to be successful.Also, if Professor Bushee expects students will watch the optional videos anyway, why make them optional? In the case of the Valuation Video, despite some of the mathematics being a little “scary” for some students, I think that the information there is really useful and helps to solidify an understanding of the spreadsheet.I’m wondering if an in-quiz question would be helpful. Perhaps it might provide a new set of financials for Woof Junction and ask for ratio calculation and what that means in terms of their position in the marketplace or something similar. Just some practice questions to get people working with the information.Same comments basically apply for the remainder of the weeks. I think that it would help the students to have some in-line quizzes – this not only breaks up the longer videos and helps to keep students focused but also provides a reinforcement of key concepts.I really liked the quiz for Week 1 even though I struggled with the questions where there are multiple correct responses. The quiz effectively reinforces the information covered very well and requires one to think about what was covered in the lectures.You may want to remind students that the questions may change from quiz to quiz. In many of these on-demand courses, the quiz questions do not change and students may be in the habit of not rereading the questions they have gotten correct on previous attempts.Week 2 – Revenue After Cash Collection at 7:39 – talking about Days Unearned Revenue and mentions that an “increase means slower future recognition”. A bit more explanation around what that means would be useful.Week 3 – no particular additional comments on the lectures other than some in-line questions might be good.. I found Benford’s Law really interesting.Week 4. It would be really nice to have something to break up the lectures – some in-line quiz questions might help. This would also help to reinforce the material.Week 4 quiz Question 9 -, the double negative wording of the question and the correct response may cause confusion for students – particularly for those for whom English is not their native language.Overall CommentsI enjoyed the course and learned a lot. I was wondering whether it would be possible to provide a summary document with all the key information from each week related to the ratio calculations and the key things to look for related to those ratios. I know that the ratios are provided in the spreadsheet but it might be good to have a written summary with some supplemental information about how to use the ratios.I think in-line quizzes or practice questions would be helpful for students – perhaps ones that asked students to do specific things in the spreadsheet and come back with an answer. They don’t need to be long or complicated – just something that gets people into the spreadsheets and working with them early. You may want to do something stronger to encourage them to “play” with the spreadsheet. Many will feel reluctant to change the numbers in the spreadsheet for fear of “messing” it up. Perhaps a reminder that they can change whatever they want because if they mess something up they can always download it again. Or they can save a copy and play in that leaving the original untouched.It also might be a good idea to have a “playground” sheet where there is a simple set of Financial Statements and the students can try changing things in the financial statements and see the impact on the key ratios without having to move from one spreadsheet to another – so, a combination of the Original tab and the first two columns of the Ratios tab. You might even want to have two columns for the ratios – one for the ratios with the original numbers that does not change (fixed values) and one for the changed numbers, so students can see the effect of the changes easily.In terms of the spreadsheets, I thought that the Original, the Ratios and the CommonSize tabs were fairly straight forward and relatively easy to understand. That may not be the case for people less familiar with MS-EXCEL but I don’t know what the target audience is for this course so the students may all be proficient with the tool. On the Valuation tab, I was wondering if the numbers in Row 41 should be highlighted in some way to emphasize that they are Years. That is not clear on first glance.There are a lot of mistakes in the subtitles. I pointed out many of these by flagging the specific videos where they occurred.Thank you for the opportunity to participate in the beta-test of this course. I hope that my comments are helpful and that I have not missed too much that causes students issues as the course goes live."
154,154,User154,53,Providing what are the insight we need to look before investing in a company and how interpret the balance sheet and found the
155,155,User155,48,Wonderful! Very convenient discourse and utterly concise.
156,156,User156,48,No practical knowledge learnd and no clear examples of the topics. Too complex all the course
157,157,User157,10,really great course
158,158,User158,84,Very interesting course!
159,159,User159,17,poor course. never give any algorithm. No clue where the problem come from. The forum is only help a few people. No general ideas how to solve the problem. waist a lot of time debugging but still couldn't pass the assignment.total waste my time and garbage course.
160,160,User160,44,Full Individuals speaking
161,161,User161,22,Extremely useful! I recommend it :)
162,162,User162,50,"Really useful course, concise and resourceful"
163,163,User163,16,"Gives a soft view and precise information about what to do and how to do in Live.If you are looking for some input to start recording yourself or to start creating any kind of music, i strongly recommend this!"
164,164,User164,28,Thank you so much for this course. Really... very neccesary and important for people who loves music.
165,165,User165,0,Good course . A must take for beginners !
166,166,User166,2,"If you know little or nothing about additive, and it sounds interesting, this is a good place to start!"
167,167,User167,59,"Great intro to Ableton, with good hands-on experience. Nice starting point for those who seek to expand their music creation toolset."
168,168,User168,92,Brain Bushee's videos are really impressive. Some areas are too technical for a beginner to understand. The rest of the material provide good understanding...
169,169,User169,54,Very boring
170,170,User170,48,"Great to start with Ableton, even i start with some youtube tutorial, this course really works for me cause i can see some errors i did."
171,171,User171,29,"It's mostly very basic stuff, but even then it introduced me to concepts I wasn't aware of."
172,172,User172,58,Practically oriented and brilliantly organized!
173,173,User173,19,Eye and mind opening course.
174,174,User174,24,Thank you Ms professor Erin Bara you are the pest
175,175,User175,97,"This course is very interesting, enlightening and a wonderful introduction especially for learners with no prior experience with 3D printing."
176,176,User176,4,Awesome course for those who want to learn Ableton´s Live DAW!
177,177,User177,84,Most fruitful course for the most updated Accounting Analytics
178,178,User178,78,Really great course! The videos were very clear and I learned a ton about a program I've been using for years to record audio only.
179,179,User179,2,"I really liked The 3D Printing Revolution course. It's easy to understand, you don't need any background knowledge, but you will find out so much about this topic - including materials that are used, technologies, 3D printing companies... Also, the materials cover history and the future of 3D printing. It's a great introductory course and the instructor (and the guests) are amazing. I recommend it!"
180,180,User180,26,Course is comprehensive and detailed. But is a bit fast paced for people new to IT Finance
181,181,User181,12,Lot of considerably complex and dry (accounting and statistics!) subject matter covered at a high level without much discussion! Quiz questions are unnecessarily complex - which (IMHO) will discourage / turn off those who are new to this subject matter in completing this course. The last week is pretty interesting though!I am taking the full business analytic course - and find that the quality and complexity of content is all over the place!! Some are way too simple and some are highly complex.
182,182,User182,4,Very clear. Excellent instructor and it's free if you don't pay for the cert! Can you have a better class experience? Thank you Prof. Bushee!
183,183,User183,76,"Great intro to Ableton, with good hands-on experience. Nice starting point for those who seek to expand their music creation toolset."
184,184,User184,90,Excellent course! Totally recommended!
185,185,User185,31,I learned so much in this class and the instructor did a great job explaining the contents
186,186,User186,5,"This course is difficult for me since it requires extensive background of accounting studies while my background is in HR and Strategy. However, I grasped the opportunity to make up my finance and accounting related knowledge, and passed the course finally after several times of trial and error. The professors taught the course in a very interesting and fun way, which could have been a boring class with lots of difficult and hard numbers but turns out to be a class full of fun and laughters. I like the way the two professors are presenting the knowledge, as well as doing the analysis. Thanks for providing such a course! More courses like this should be organized to benefit more professionals or students in need!"
187,187,User187,56,Very interesting course!
188,188,User188,69,2 thumbs up learned something that I have never learnt before.
189,189,User189,96,Excellent overview and practice for new ableton live users.
190,190,User190,7,"I do not find very interesting this course. too many interviews. It could works for the first course, but not for the second. I was expecting to have more technical material and lessons."
191,191,User191,64,"Great content, the videos and talks are very motivating and they give an exciting overview of the subject. Thanks for the great work."
192,192,User192,29,Really good resource for anyone wanting to learn the basics of a super flexible software.
193,193,User193,93,Great! As always great lectures by professor Bushee!
194,194,User194,40,"Very well done! Contents, delivery, clarity, everything was top notch. Thank you!"
195,195,User195,76,Great course to start working your way around all the incredible tools Ableton offers.
196,196,User196,86,This course is a challenging into to Ableton Live. It is well worth the time for even experienced producers who are new to Ableton Live. I first got Ableton Live in November 2015. It is now January 2016 and I feel like I have come a long way thanks to this course.
197,197,User197,41,"Excellent course, really lloking forward for the rest of the specialization!"
198,198,User198,38,"A good course to see the various market and non-profit aspects of 3D printing. Lot of examples and initiatives, a"
199,199,User199,84,Best course of the specialisation so far.
200,200,User200,28,My major is accounting but I still felt that it was so difficult. But I learned some knowlege which our teachers didn't tell me. Thanks!
201,201,User201,38,I like the course. Pretty concise and straight forward. Highly recommended.
202,202,User202,7,"I loved the Accounting part of the course. It was quite hard for me (non-accounting person), however I really enjoyed the form of the lectures and the content itself (the earnings management + its revealing). Great materials Professor Bushee!"
203,203,User203,75,Fantastic and helps you create music that represents you.
204,204,User204,22,i love this course very much!very practical and systematical content.and very useful for accounting professionbut its a little bit challenging to follow. I have watched whole the videos for more than 2 times in order to pass the assignment.
205,205,User205,86,Good overview on Financial Analytics!
206,206,User206,71,Great content but animations are annoying!
207,207,User207,6,Good information but way too short for what Coursera charges.
208,208,User208,82,Good one!
209,209,User209,48,"A very nice experience. I expected an entry level course, but Erin organised a well rounded path. I got a new effective approach to the Ableton Live 9 software.I recommend to develop carefully your assignments: you will improve your own skills by comparing your solutions with those of the classmates. In addiction you'll find some ""veteran"" student willing to help.Good luck!"
210,210,User210,67,"I didn't really care about the stories from the students or seeing the space for one whole lecture video. It's clear that Ultimaker is the sponsor, but it felt like a commercial. I want to learn more."
211,211,User211,89,"This course made me look at Accounting in a very different way; instead of common business schedules, it actually became exciting to read and find out what was really going on!"
212,212,User212,52,Great review of what can be accomplished through 3D printing.
213,213,User213,38,No practical knowledge learnd and no clear examples of the topics. Too complex all the course
214,214,User214,23,Don't recommend.You're better off skimming through the ableton manual and using the search function to get the answers you want.
215,215,User215,68,"Besides serving as a refresher of a few accounting topics, this course really delivers on the topics of analyzing financial statements for possible fraud and linking non-financial metrics to financial performance."
216,216,User216,30,Good place to start if you don't know anything about 3D printing.
217,217,User217,38,"A very good course for getting a quick and effective introduction to one of the coolest DAWs around! Barra has explained everything nicely, and in an easy to grasp manner. Go ahead if you're looking for digital music production even remotely!"
218,218,User218,18,"Great introduction to Ableton Live. Covers all stuff you need to know, and helps you through some stumbling blocks."
219,219,User219,59,I found this course was very interesting and a great learning tool and I am glad I would recommend this course to people Ni:Awen
220,220,User220,71,My major is accounting but I still felt that it was so difficult. But I learned some knowlege which our teachers didn't tell me. Thanks!
221,221,User221,53,"I loved the Accounting part of the course. It was quite hard for me (non-accounting person), however I really enjoyed the form of the lectures and the content itself (the earnings management + its revealing). Great materials Professor Bushee!"
222,222,User222,67,exemplary examples to how 3d Printing can be applied to real world problems.
223,223,User223,49,Nice introduction to 3D for absolute beginners. Very interesting interviews entrepreneurs.
224,224,User224,32,"This is a great introduction to 3D printing. It covers the basics of different 3D printing technologies, from desktop to industrial hardware. It shows the resources and services available to utilise 3D printing effectively. It provides interviews with entrepreneurs and others in industry which are using this technology."
225,225,User225,42,"Thank you very much for this awesome course, I really enjoyed and learned alot from it.I really liked the selected topics, they act like an intro to some really interesting fields in the programming.I've learned about NP multiple times but never found a use to it until now, the problems were really good and informative.I think the linear programming was pretty rushed, it should've been expanded over two weeks with more in details.Maybe add a problem or explain the use of duality ."
226,226,User226,10,A very interesting course. Strengthening the advanced accounting concepts.
227,227,User227,47,Great course and very informative.
228,228,User228,68,A great course to teach the basics of this software!
229,229,User229,24,Very interesting course. I learned a lot about the history of Aboriginal education.
230,230,User230,34,"The course itself is good. Nevertheless, it says that it doesn't require any previous experience... But there is actually experience required on financial statements and concepts."
231,231,User231,86,Insightful
232,232,User232,77,"Great piece of work, I especially liked a few 'lifehacks' for the CIO"
233,233,User233,9,This was a great course! Aric Rindfleisch encourages enthusiasm on this new techology revolution. It gave me the fundamental basics on the matter. Furthermore now I am more interested on 3D printing than I was before starting the course. I surely follow the following Illinois University courses on 3D Printing!
234,234,User234,97,Very well thought out. Many useful and applicable techniques provided that can be put to work immediately.
235,235,User235,92,Good one!
236,236,User236,71,2 thumbs up learned something that I have never learnt before.
237,237,User237,61,"Fred J FeilerNov 20, 05:49 PSTChat started: 2016-11-20 01:37 PM UTC(01:37:50 PM) Fred J Feiler: We need a start date for 3D Printing Software course. The learners are concerned that this course will never happen even for those who have been enrolled since June 2016.(01:38:52 PM) Coursera Support: Thanks for reaching out to us! Someone will be right with you.(01:39:38 PM) *** Jessy joined the chat ***(01:39:54 PM) Jessy: Thanks for reaching out to us. I’d be more than happy to help you today.(01:40:29 PM) Jessy: I am very sorry for the inconveniences.(01:40:40 PM) Jessy: Please allow me a moment while I take a look into this for you Fred.(01:40:59 PM) Fred J Feiler: Thanks(01:44:54 PM) Fred J Feiler: I enrolled in the five course specialization. My momentum is at a standstill so if this course is delayed I’ll look for something better.(01:46:05 PM) Jessy: I am very sorry for the inconveniences Fred, I checked and that course does not have sessions available yet.(01:46:16 PM) Jessy: It looks like we will need some time to look into this issue further. I am going to escalate this to our support specialists so they can further investigate. This means that I will be ending this chat and it will become a support ticket email. You will receive an email transcript of our chat for your records, and someone from our support team will review our chat and email you with updates as soon as possible.(01:47:18 PM) Fred J Feiler: OK, thank you!"
238,238,User238,42,Simply very interesting.
239,239,User239,1,"This course was fantastic, I learned so much from it, and I am so excited to continue this track!"
240,240,User240,24,I learned so much in this class and the instructor did a great job explaining the contents
241,241,User241,15,it's a great course for people who want to learn easily the base of this program!
242,242,User242,96,i love professor Brian J Bushee!!
243,243,User243,31,it's awesome for beginners!
244,244,User244,77,If only it was a week longer.
245,245,User245,26,The three first weeks were almost completely dedicated to traditional finance accounting ratio analysis.
246,246,User246,30,Very interesting and provocative course. It will help you to receive additional knowledge which is very valuable.
247,247,User247,41,Excellent overview and practice for new ableton live users.
248,248,User248,36,Very good course but videos sometimes too long
249,249,User249,59,"Easiest accounting common sense. If you ever took acct , this will be a wasting of time."
250,250,User250,83,Great endeavor! You can now learn about the 3D printing technology at your own place.
251,251,User251,39,"Do not hesitate to enroll, it's a brain storming course & I like the way of the teaching here!"
252,252,User252,46,Week 4 was the best and the more appropiate for the specialization.
253,253,User253,63,Very insightful topic! A good overview of the use of analytics in accounting!
254,254,User254,12,Great course. Won't say anything else... if you want to know how it is you must try it!
255,255,User255,92,I have thoroughly enjoyed this course. The whole idea of earning management was cool. I will highly recommend this course to all.
256,256,User256,97,Very good course for learning how to work in Ableton. Professor Barra teaches really great.
257,257,User257,40,"This is a great introduction to 3D printing. It covers the basics of different 3D printing technologies, from desktop to industrial hardware. It shows the resources and services available to utilise 3D printing effectively. It provides interviews with entrepreneurs and others in industry which are using this technology."
258,258,User258,47,"It was exactly like the lecturer said it would be like.The only hard part is the last part, where we had to actually remix an existing 3D model .I think this part of the lecturer video should have had an in depth look at how to use the 3D app.Nevertheless the course was good I learnt a lot of new stuff and not to give out any spoilers.....Its worth it."
259,259,User259,52,Very interesting and well-designed MOOC !
260,260,User260,72,Great Introduction to the 3d printing world
261,261,User261,94,"Excellent course, could do with a little more visual references. Some of the talks are a bit tough to get through since you are watching 2 people. Content still very valuable."
262,262,User262,2,"Do not hesitate to enroll, it's a brain storming course & I like the way of the teaching here!"
263,263,User263,70,The Best Course in Accounting Analytics.
264,264,User264,74,"Excellent experience. Material, instructor and pace of the course were really good."
265,265,User265,53,a very good overview that makes you long for
266,266,User266,19,This course change me the views on 3D printing and their revolution.
267,267,User267,42,Thank you so much!
268,268,User268,48,good overview of analytics options within accounting.
269,269,User269,31,Too far from subject
270,270,User270,70,While I like the content of the course but I felt too much of topics were crammed into one single course. I had to struggle a lot to grasp the concepts on advanced algorithms by just relying on video lectures so I had to look around in the internet for additional resources. Nonetheless it was a satisfying experience though it took me a lot of time and effort to complete the assignments.
271,271,User271,87,"I enjoyed this class very much. All the content was very easy to understand and follow. I love the fact that I can pick up the materials on my phone or table through the app! Is very convenient. Before this class I had no idea 3D printing had been around for so long, I thought it was someone newer, it's amazing to see all the different applications it can be use for."
272,272,User272,32,"Simply an introduction but definitely helps learn the program, at least on a surface level. You will gain basic functionality and be well on your way to crafting more complex arrangements if you desire."
273,273,User273,62,A great course to teach the basics of this software!
274,274,User274,82,Great course with an even greater lecturer who helps ease users into Ableton Live.
275,275,User275,62,"I have many hours of undergraduate accounting and finance course work under my belt and this class gives you a tremendous overview of financial statement analysis. The only disadvantage is that the professor creates the workbooks for you and you only have to answer conceptual questions. While this would be great for some, I was hoping for some more hands on work to practice."
276,276,User276,21,Please create another course
277,277,User277,45,Great overview and introduction to 3D printing
278,278,User278,17,"Excellent experience. Material, instructor and pace of the course were really good."
279,279,User279,69,Very practical and complementary for other accounting courses.
280,280,User280,23,Content very clear and explained by the professors.
281,281,User281,82,"Well-presented contents with comprehensive illustrations and easy to follow, cover in proper order every aspect of drawing and AutoCAD. Would appreciate if the English subtitle is available in the whole course, so more students could access to these handy lectures and exercises."
282,282,User282,67,This course does not say anything about digitization which is the core subject of the digital wave.
283,283,User283,9,"Great instructor, I like how you can go back and keep going over the instructional videos throughout the course."
284,284,User284,85,Excellent course! Totally recommended!
285,285,User285,97,Easy to follow and includes a lot basic and important techniques to use sketchup.
286,286,User286,52,"While there is some interesting content, particuarly in the last week on design thinking, some of the course topics don't seem to hold together well, and the videos include a lot of monotonous talking heads. While this conveys the benefit of being able to listen to some of the videos without consistently watching, the interview questions asked of speakers are sometimes printed on the screen and not asked verbally. If you're not watching, you miss the questions. I would like to see this course refocused on design thinking for 3D printing, with other applications interspersed as examples rather than constituting the lion's share of the course. I believe that format would both be more engaging and do a better job of delivering skills with more opportunity for practice."
287,287,User287,80,"Excellent information covered, very understandable with practical examples and great professors."
288,288,User288,8,"A very good course for getting a quick and effective introduction to one of the coolest DAWs around! Barra has explained everything nicely, and in an easy to grasp manner. Go ahead if you're looking for digital music production even remotely!"
289,289,User289,19,Really nice teacher!I could got the point eazliy but the v
290,290,User290,27,I love to be taught accounting by Sir Brian. A very marvellous course.
291,291,User291,58,Providing what are the insight we need to look before investing in a company and how interpret the balance sheet and found the
292,292,User292,7,Thank you!
293,293,User293,81,"I enjoyed the course a lot. I cannot thank the instructors enough.It would have been more interesting if we could go deeper on linear programming, such as extension to integer programming. The discussion about the duality was a bit too fast to me."
294,294,User294,78,"Rather robust material with strong focus on ""deceptive"" practice detection. A lot of ratio analyses, each with its own moniker which I found tedious. Informative and confirmed that I don't have the ""accountant gene""."
295,295,User295,84,Amazing Course!
296,296,User296,2,Easy to follow and includes a lot basic and important techniques to use sketchup.
297,297,User297,68,Very interesting and provocative course. It will help you to receive additional knowledge which is very valuable.
298,298,User298,52,One of the most useful course on IT Management!
299,299,User299,2,"Very interesting course, well designed, using animated fun-makers to shoot out questions that you will probably do it yourself.Course content easy to understand. Very suited for non-accounting major analyst who wants to get some background in accounting analysis.."
300,300,User300,92,I like the course. Pretty concise and straight forward. Highly recommended.
301,301,User301,68,"Amazing! Very interactive, engaging and comprehensive."
